gene_symbol,entrez_id
PLXNA4,91584
SLC20A2,6575
GNAO1,2775
HNF1B,6928
EMSY,56946
CIC,23152
STXBP5,134957
KCND3,3752
SHROOM4,57477
BSCL2,26580
ZNF774,342132
AKT3,10000
RBPJ,3516
LZTR1,8216
NDUFV1,4723
SHANK1,50944
NUDCD2,134492
GNA11,2767
EXT2,2132
ABCA7,10347
COL4A2,1284
STK11,6794
CLCN6,1185
PGK1,5230
DNAJC6,9829
CACNA2D2,9254
HTR1A,3350
NTRK1,4914
NARS2,79731
FAR1,84188
BRD4,23476
BRSK2,9024
RTTN,25914
DHTKD1,55526
SOX2,6657
WDFY4,57705
PCDH15,65217
CADM2,253559
KMT2E,55904
DPYSL3,1809
STAT2,6773
ADCY3,109
FGF8,2253
YTHDC2,64848
PPP2R1A,5518
GRID2IP,392862
FTL,2512
UQCC2,84300
ATP6V0A2,23545
MCCC2,64087
FEZF2,55079
CELSR3,1951
SYP,6855
CORO1A,11151
SLC6A3,6531
SLC25A27,9481
CLCN4,1183
TRAF3,7187
ZNF292,23036
TECTA,7007
SLC7A11,23657
SYNE1,23345
IL1RAPL1,11141
OXT,5020
MPC1,51660
CCT4,10575
MSX2,4488
MAGEL2,54551
PLN,5350
DGKD,8527
APOE,348
DHCR24,1718
QDPR,5860
GRIA2,2891
MEMO1,51072
SLCO1B7,338821
NOTCH2NL,388677
ST5,6764
MT-CO1,4512
C7orf55,154791
MT-CYB,4519
APOPT1,84334
LPHN2,23266
FAM92B,339145
C16orf62,57020
WHSC1,7468
GUCY1A3,2982
MT-ND1,4535
COL4A3BP,10087
C10orf2,56652
SGK223,157285
NGFRAP1,27018
ATP5A1,498
CASC4,113201
GPR98,84059
TTC25,83538
MT-ND5,4540
KIAA1456,57604
QARS,5859
AARS,16
ZFYVE20,64145
GPR56,9289
MT-ATP8,4509
MT-CO3,4514
KARS,3735
MT-ATP6,4508
MT-ND4,4538
LOR,4014
SSPO,23145
MSNP1AS,4479
PTCHD1-AS,100873065
