gene,ppi_degree,phenotype_degree,ppi_betweenness,phenotype_betweenness,module_multiplex,module_ppi,module_phenotype,e1,e2,e3,e4,a1,a2,a3,as,common,common_all,a_specific,e_specific,annotated_type
DNAH17,2,7,0.0,0.0027581642778808416,11,3,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DNAH3,3,7,9.986395751348415e-06,0.00034880705792779507,11,3,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DNAJC5,25,11,0.007012479461927981,0.0,8,16,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
DNAJC6,24,6,0.0008024408034521605,0.0005616142634795547,8,8,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
DNER,5,1,0.00036573456728796665,0.0,1,1,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DNM1,36,81,0.005001962529673106,0.006585792994422589,1,8,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
DNM1L,6,5,0.0014790010769844906,0.0008989635157414769,12,12,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
DNM3,22,93,0.0002542166608165313,0.012891470049349355,1,8,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
DNMT1,16,0,0.003638631852090646,0.0,4,2,132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
DNMT3A,17,0,0.0014265979937360233,0.0,4,2,325,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
DOCK1,7,62,1.5401223642971093e-05,0.0007258020516779295,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DOCK4,7,8,0.0022921780464086414,0.00032901522959529394,9,10,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DOCK6,2,4,0.0,7.322689931102583e-05,11,1,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
DOCK7,4,6,1.9883572205961405e-05,0.0020975105812440693,10,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
DOCK8,5,1,0.0007492663879606201,0.0,10,1,69,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 2"
DOLK,12,28,0.00015112476975136802,0.00016566437869499373,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism S"
DPAGT1,13,25,0.000142615102276476,0.0003583745463384009,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
DPM1,23,30,0.0014602656919304115,0.0004269008400101805,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
DPM2,19,26,0.000869283762494772,0.002517575869329263,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
DPP10,3,0,3.838641242284389e-06,0.0,3,5,127,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
DPP3,0,0,0.0,0.0,55,113,180,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DPP4,3,34,5.111347752961299e-05,0.0013678500696843938,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DPP6,7,2,0.00024929470499413935,0.0,3,5,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DPYD,3,0,7.143065031658697e-05,0.0,2,4,185,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 3"
DPYS,4,1,0.00014420139984449117,0.0,11,1,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
DPYSL2,7,6,0.0006275649086553491,0.0005845790981376507,11,1,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
DPYSL3,5,0,0.00027622635902155464,0.0,11,1,446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DRD1,21,18,0.001210300384714477,0.005857538096746251,9,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DRD2,38,10,0.002885207222521494,0.0023851630788601654,9,6,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DRD3,30,6,0.00019646032410757997,0.0032674053624777814,9,6,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DSCAM,3,16,0.00013498590729630255,3.1253877434169184e-07,11,1,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
DST,5,0,0.0016502295852612505,0.0,2,14,391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DUSP15,0,2,0.0,0.0,2,83,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DVL3,22,23,0.005470938117901435,7.345915580794314e-07,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DYDC1,0,0,0.0,0.0,27,55,96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DYDC2,0,0,0.0,0.0,149,315,434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
DYNC1H1,76,5,0.025414775630119176,8.875157277062953e-05,5,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 2"
DYRK1A,7,6,0.0013796888198612204,0.0002204824621134266,8,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
EARS2,14,7,0.00506875855758861,1.659834260236436e-05,2,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
EBF3,0,1,0.0,0.0,12,269,24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
EBP,4,0,3.339875444413404e-05,0.0,2,14,200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ECM1,2,0,1.7185376131812664e-06,0.0,1,15,172,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
EEF1A2,4,24,0.00014559733933194288,8.567523919571256e-05,3,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"Epilepsy 1, Autism S"
EFHC1,2,13,4.3759285806606076e-05,5.5176943581954265e-05,3,17,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
EFR3A,0,0,0.0,0.0,118,249,358,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
EFTUD2,16,0,0.0008141110502211508,0.0,10,10,255,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Epilepsy 3, Epilepsy 4"
EGF,69,113,0.020317956159458583,0.003732853934234486,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
EGR3,1,23,0.0,0.0012660696890968385,14,17,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
EHMT1,3,0,8.459003730380871e-05,0.0,4,2,417,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
EIF2B1,1,2,0.0,0.0,10,21,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
EIF3E,5,5,0.0009772032347709063,0.00706874400785917,10,10,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
EIF3G,6,14,0.0004478179822537481,0.0006664022582740759,10,10,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
EIF4E,24,116,0.0074903401860622176,0.0022914622811481583,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ELAVL2,11,13,0.0,0.00015017655477853886,10,10,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ELAVL3,2,12,0.0,0.0,10,1,15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
ELMO1,8,3,6.456072033317605e-05,0.000818914096530101,1,1,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
ELOVL2,0,0,0.0,0.0,151,318,439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ELOVL4,0,0,0.0,0.0,121,256,365,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ELP4,0,7,0.0,0.00024783017938364053,4,263,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
EMSY,2,0,1.0862392843085919e-05,0.0,10,2,445,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
EMX2,2,1,1.272942029739868e-05,0.0,7,7,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 2
EN2,3,3,5.679702242237763e-05,0.0006791006066824954,14,2,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ENG,4,3,8.233792946685725e-05,4.6493863383021193e-07,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
EP300,88,47,0.02933164076864466,0.006621909028149986,1,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
EP400,11,19,0.0003478518905419022,0.00045041119472064256,4,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
EPC2,3,0,2.2435697207809287e-06,0.0,4,2,337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
EPG5,0,0,0.0,0.0,101,213,303,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
EPHA5,3,5,5.076025238386955e-06,0.0,11,1,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
EPHB2,24,0,0.0022583070687344905,0.0,1,1,161,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 4, Autism 3"
EPM2A,4,3,6.0868498829015184e-05,0.00040911325561327454,2,11,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
EPPK1,1,0,0.0,0.0,2,14,170,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ERBB4,21,61,0.001998751062938724,0.012238079020186645,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
ERBIN,6,0,0.003096436477781894,0.0,1,1,289,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
ERCC6,1,1,0.0,0.0,4,2,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ERG,0,1,0.0,0.0,4,326,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ERLIN2,8,1,0.00164845128397995,0.0,1,1,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ERMARD,1,4,0.0,0.0024840593216884097,5,6,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 2
ERMN,0,0,0.0,0.0,131,277,387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ESR2,13,1,0.000995947115021412,0.0,9,6,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ESRRB,3,6,4.8608525890277946e-05,0.001227225169289232,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ETFB,4,1,0.0003390740525496919,0.0,2,4,60,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
ETFDH,8,1,0.0008621862755389087,0.0,2,9,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ETHE1,1,0,0.0,0.0,2,10,416,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
EXOC3,10,19,0.0012773661231330698,0.001172670493516769,5,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
EXOC5,8,21,0.00040480525048048894,0.0025034150475598863,5,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
EXOC6,8,18,0.0002620799872684082,0.0005396720026396108,5,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
EXOC6B,4,0,0.0009433670364729625,0.0,5,1,315,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 4, Autism 3"
EXOSC3,7,1,0.0007794522240441777,0.0,10,10,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 2
EXT1,6,1,0.0,0.0,1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
EXT2,6,2,0.0,6.875853035517219e-07,1,1,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
F2,32,13,0.00261519236979473,0.005296693910114981,9,6,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FABP5,12,5,0.0005934805782780173,0.005195528717791079,8,13,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FADD,6,85,0.00019031990245805104,0.0003217964147344359,1,15,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FAM111A,0,0,0.0,0.0,39,80,130,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FAM47A,0,0,0.0,0.0,117,248,357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FAM92B,0,0,0.0,0.0,62,128,199,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
FAM98C,0,0,0.0,0.0,69,149,215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FAN1,0,3,0.0,0.0,4,300,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FAR1,3,8,0.0,0.0004062029746373346,2,14,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FARP2,3,2,0.0,0.0,11,1,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
FARS2,8,2,2.092423569942986e-05,0.0029277882382854545,2,4,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FASN,6,33,0.009522005103693774,0.005242418831139322,2,14,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
FASTKD2,1,7,0.0,0.0008190516135908114,2,9,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FAT1,1,3,0.0,0.00040911325561327454,3,19,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FAT4,1,2,0.0,0.0,3,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FBN1,15,0,0.0003223566016254126,0.0,1,1,403,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
FBXL4,27,3,0.0,0.0,12,12,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FBXO11,27,1,0.0,0.0,12,12,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,"Autism 3, Autism S"
FBXO28,0,3,0.0,0.0,2,241,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
FBXO33,0,5,0.0,0.0021903033582527263,2,144,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FBXO40,27,6,0.0,0.0007807115689612687,12,12,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FCRL6,0,2,0.0,0.0,1,147,27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FEZF2,4,22,0.0011165186591349044,7.6103169039352826e-06,14,5,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FGA,32,98,0.004261248217311056,0.0029245400613406554,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FGD1,1,1,0.0,0.0,1,1,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FGF12,3,38,6.39225075631215e-05,0.00513960009775328,3,5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
FGF8,12,103,0.000419910634110675,0.0059620020783991284,1,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FGFR2,16,29,0.001959125534964146,5.421474625221594e-05,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FGFR3,15,25,0.0006646058598999549,2.950959799761073e-05,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FHIT,2,0,3.954458344769543e-05,0.0,1,1,192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FIG4,0,0,0.0,0.0,85,178,257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 2
FKTN,8,4,0.00021312897370449416,0.0,7,11,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FLG,2,0,0.0009433670364729625,0.0,1,1,252,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
FLNA,14,3,0.0017056548698137883,2.0334546909761946e-05,1,1,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 2
FLT4,6,11,0.0004088061481261829,0.0,11,2,13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
FMN2,0,14,0.0,6.73694691358758e-07,7,45,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FMR1,17,0,0.005911267424141703,0.0,6,7,177,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
FOLR1,17,1,0.001392265501499016,0.0,7,5,56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FOXG1,7,2,0.0006430616687843459,0.0,6,2,14,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
FOXP1,1,0,0.0,0.0,6,5,334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 1
FOXP2,4,3,0.00033992601015812017,0.00014385529076028949,7,5,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
FOXRED1,13,19,0.00012625287645701787,0.0009234085385422063,2,9,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FRK,18,5,0.0008518235809092551,0.0,8,13,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
FRMPD4,1,19,0.0,0.00027089262902944795,6,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Autism S
FRRS1L,1,15,0.0,0.007786984405499284,7,10,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
FSTL5,0,6,0.0,0.00041574774894667324,5,301,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
FTL,20,4,0.0013512213057769967,0.0,8,13,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FTO,3,4,0.0006826223860585156,0.0,4,2,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
FTSJ1,2,20,0.0018853589023388215,0.00042103975590025835,6,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
GABBR1,36,49,0.0034248394000008864,0.004593368840543434,9,6,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
GABBR2,42,23,0.004067292085131981,0.0006232350686191592,9,6,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"Epilepsy 4, Autism 3, Autism S"
GABRA1,15,24,0.0009707588403673016,0.0003978009209310588,3,17,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
GABRA3,13,9,0.0005721241496010865,0.00020945946095294254,3,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Autism S
GABRA4,13,52,0.0010885933854998693,0.0021924948579580736,3,17,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
GABRA6,13,54,0.00037449402094864604,0.002242635128162954,3,17,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
GABRB1,11,47,4.39209774342236e-05,0.00625521155832011,3,17,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
GABRB2,13,31,0.0007703732767218694,0.0010490265714380926,3,17,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
GABRB3,14,20,0.002230231273779022,0.0005830844033040415,3,17,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 1, Autism 2"
GABRD,11,22,0.0003502332671510871,0.000944807794449707,3,17,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
GABRG2,19,23,0.002260738359675549,0.001334970380444267,3,17,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
GABRG3,10,51,1.783343091471342e-05,0.0023876244426135917,3,17,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
GAD1,28,10,0.017087878456897583,0.0010030243371201494,2,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
GAL,27,11,0.00023582792650863344,0.0008836125975977635,9,6,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
GALC,6,0,0.00013202807237975143,0.0,8,13,223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
GALNT13,2,27,0.0,0.00037497132071259763,7,18,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
GALNT14,2,21,0.0,0.00012189017397532979,7,18,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
GALNT8,2,25,0.0,0.005677943755556114,7,18,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
GAMT,2,2,0.0,0.0,13,4,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
